Driver,TyreLife,LapTimeSeconds
LEC,21.0,91.43326666666667
LEC,22.0,90.78341666666667
LEC,23.0,91.91760000000001
LEC,24.0,92.08271428571427
LEC,25.0,93.6675
LEC,26.0,94.23683333333334
LEC,27.0,87.1635
LEC,28.0,89.52860000000001
LEC,29.0,89.1042
LEC,30.0,89.4846
LEC,31.0,89.4212
LEC,32.0,89.94800000000001
LEC,33.0,87.20766666666667
LEC,34.0,90.73925
LEC,35.0,90.48975
LEC,36.0,92.3235
LEC,37.0,87.45033333333333
LEC,38.0,87.399
LEC,39.0,78.853
LEC,40.0,89.501
LEC,41.0,89.743
LEC,42.0,78.863
LEC,43.0,78.84
LEC,44.0,78.619
LEC,45.0,78.682
LEC,46.0,79.035
LEC,47.0,79.096
LEC,48.0,79.502
LEC,49.0,78.922
LEC,50.0,79.271
MAG,1.0,108.56420833333334
MAG,2.0,90.03192307692308
MAG,3.0,91.21968965517242
MAG,4.0,92.208
MAG,5.0,91.99745161290322
MAG,6.0,91.61490322580644
MAG,7.0,92.77290625
MAG,8.0,93.05288235294117
MAG,9.0,92.58560606060605
MAG,10.0,92.67296875
MAG,11.0,93.14971428571428
MAG,12.0,92.75515384615385
MAG,13.0,92.74689285714285
MAG,14.0,92.76676923076924
MAG,15.0,92.873
MAG,16.0,92.91386363636364
MAG,17.0,92.39895
MAG,18.0,92.53455555555556
MAG,19.0,93.15535294117647
MAG,20.0,93.44975
MAG,21.0,93.53642857142857
MAG,22.0,93.90036363636364
MAG,23.0,93.2382
MAG,24.0,94.13187500000001
MAG,25.0,93.57249999999999
MAG,26.0,93.34649999999999
MAG,27.0,89.48060000000001
MAG,28.0,93.0226
MAG,29.0,85.26
MAG,30.0,85.75333333333333
MAG,31.0,85.82833333333333
MAG,32.0,85.14999999999999
MAG,33.0,86.125
MAG,34.0,85.66533333333332
MAG,35.0,86.05499999999999
MAG,36.0,82.5265
MAG,37.0,83.437
MAG,38.0,83.691
MAG,39.0,83.715
MSC,1.0,107.9576
MSC,2.0,96.8918
MSC,3.0,100.47957142857142
MSC,4.0,97.392
MSC,5.0,95.04077777777778
MSC,6.0,97.8262
MSC,7.0,95.21444444444444
MSC,8.0,95.21733333333333
MSC,9.0,95.61875
MSC,10.0,95.13033333333334
MSC,11.0,96.83385714285714
MSC,12.0,96.40257142857142
MSC,13.0,95.12316666666668
MSC,14.0,95.80766666666666
MSC,15.0,96.116
MSC,16.0,95.64259999999999
MSC,17.0,95.65299999999999
MSC,18.0,93.72619999999999
MSC,19.0,93.6386
MSC,20.0,93.4358
MSC,21.0,94.2364
MSC,22.0,94.29275
MSC,23.0,94.03733333333334
MSC,24.0,88.65950000000001
MSC,25.0,89.12450000000001
MSC,26.0,88.9865
MSC,27.0,88.3535
MSC,28.0,88.8075
MSC,29.0,89.80799999999999
MSC,30.0,88.5805
MSC,31.0,89.60849999999999
MSC,32.0,88.9615
MSC,33.0,90.72149999999999
MSC,34.0,91.005
MSC,35.0,91.153
NOR,1.0,108.92909999999999
NOR,2.0,90.51705
NOR,3.0,92.47995833333333
NOR,4.0,95.1346
NOR,5.0,93.01160606060606
NOR,6.0,91.37103030303031
NOR,7.0,92.44969696969697
NOR,8.0,91.24628125
NOR,9.0,91.40346875
NOR,10.0,91.61121212121212
NOR,11.0,90.8906551724138
NOR,12.0,90.82107142857141
NOR,13.0,90.63357692307692
NOR,14.0,89.79854166666667
NOR,15.0,90.4805
NOR,16.0,90.64470833333333
NOR,17.0,90.27256521739132
NOR,18.0,89.72468181818182
NOR,19.0,90.11883333333334
NOR,20.0,90.13227777777779
NOR,21.0,90.1370588235294
NOR,22.0,91.27253846153846
NOR,23.0,92.05120000000001
NOR,24.0,91.68662499999999
NOR,25.0,89.6096
NOR,26.0,91.23983333333332
NOR,27.0,90.1162
NOR,28.0,91.88816666666666
NOR,29.0,94.3744
NOR,30.0,95.1152
NOR,31.0,92.38325
NOR,32.0,92.61500000000001
NOR,33.0,87.221
NOR,34.0,92.712
NOR,35.0,94.9885
NOR,36.0,98.473
NOR,37.0,98.617
NOR,38.0,99.16
NOR,40.0,99.396
NOR,41.0,99.51
